time[sec],input,output
5.90177,-2.06211,-3.23502,
5.95178,-2.0628,-4.36612,
6.0018,1.46243,-5.56129,
6.05183,-1.64454,-4.642,
6.10184,-2.01325,-3.70252,
6.15186,-2.057,-4.88289,
6.20187,-2.06219,-5.89944,
6.25189,-2.06281,-7.21983,
6.30189,-2.06288,-8.11464,
6.35189,1.46242,-8.91287,
6.40192,1.88078,-7.62336,
6.45194,1.93042,-4.28688,
6.50196,1.93631,-1.72269,
6.55197,1.93701,0.288826,
6.60198,1.9371,1.26565,
6.65198,1.93711,2.25823,
6.70199,-1.58821,3.06786,
6.75201,1.51875,2.51819,
6.80203,-1.63786,2.36077,
6.85207,1.51286,2.11145,
6.90209,-1.63855,1.52795,
6.95209,1.51278,1.50506,
7.0021,-1.63856,1.31762,
7.05212,-2.01254,1.06491,
7.10214,1.4684,-0.0727379,
7.15214,1.88148,0.0232534,
7.20216,-1.59481,1.14203,
7.25217,-2.00735,1.09007,
7.30218,1.46902,-0.254214,
7.3522,1.88156,-0.13674,
7.40222,1.93051,1.12278,
7.45225,-1.58899,2.01063,
7.50226,1.51866,1.97753,
7.55228,1.88745,1.6966,
7.60232,1.93121,2.21727,
7.65234,-1.58891,2.9709,
7.70235,1.51867,2.55295,
7.75238,-1.63787,2.27236,
7.80241,-2.01245,2.0546,
7.85243,1.46841,0.598713,
7.90243,-1.64383,0.379672,
7.95245,1.51215,0.492135,
8.00245,1.88668,0.459299,
8.05248,-1.59419,1.5627,
8.1025,-2.00727,1.64764,
8.15253,-2.05629,0.0886911,
8.20253,1.46321,-1.06489,
8.25257,1.88087,-1.15552,
8.30259,-1.59488,0.494414,
8.35263,1.51796,0.644297,
8.40263,1.88737,0.615814,
8.45263,1.9312,1.81175,
8.50266,1.93641,2.4154,
8.55268,-1.58829,2.76377,
8.60268,1.51874,2.62056,
8.65269,1.88746,2.14219,
8.7027,-1.5941,2.8698,
8.75271,1.51806,2.49469,
8.80271,-1.63794,2.12699,
8.85274,1.51285,1.66842,
8.90276,1.88676,1.568,
8.95278,-1.59418,2.3402,
9.00278,1.51805,2.15484,
9.05278,1.88738,1.99465,
9.1028,-1.59411,2.52902,
9.1528,-2.00726,2.17751,
9.20282,1.46902,0.982223,
9.25283,-1.64376,0.840641,
9.30283,-2.01315,0.823575,
9.35286,1.46833,-0.378026,
9.40286,-1.64384,-0.658815,
9.45287,-2.01316,-0.369481,
9.5029,-2.05699,-1.58046,
9.55292,1.46312,-2.83183,
9.60293,1.88086,-2.47259,
9.65296,1.93043,-0.584724,
9.70297,-1.589,1.02361,
9.75298,-2.00666,0.753014,
9.80299,-2.05622,-0.247944,
9.853,-2.0621,-1.7505,
9.90301,1.46252,-2.94419,
9.95303,-1.64453,-2.57847,
10.0031,1.51207,-1.98133,
10.0531,1.88667,-1.44909,
10.1031,1.93112,-0.0012707,
10.1531,1.9364,1.36933,
10.2031,1.93702,2.13216,
10.2531,-1.58822,2.86861,
10.3031,-2.00656,2.54082,
10.3532,1.46911,1.2558,
10.4032,-1.64375,1.0113,
10.4532,1.51216,0.890097,
10.5032,-1.63864,0.644983,
10.5532,1.51277,0.80062,
10.6032,1.88675,0.726551,
10.6532,1.93113,1.77888,
10.7032,-1.58892,2.54969,
10.7533,-2.00665,2.22597,
10.8033,1.4691,0.757506,
10.8533,1.88157,0.721435,
10.9033,-1.5948,1.63982,
10.9533,1.51797,1.65679,
11.0034,-1.63795,1.65854,
11.0534,-2.01246,1.10536,
11.1034,-2.05691,-0.0216672,
11.1534,1.46313,-1.401,
11.2034,-1.64446,-1.28794,
11.2535,-2.01324,-0.90534,
11.3035,1.46832,-2.10578,
11.3535,1.88147,-1.64805,
11.4035,1.9305,-0.348418,
11.4536,1.93632,1.18994,
11.5036,-1.5883,2.11114,
11.5536,-2.00657,1.85074,
11.6036,-2.05621,0.666708,
11.6536,1.46322,-0.62711,
11.7036,-1.64445,-0.59645,
11.7536,1.51208,-0.500008,
11.8037,-1.63865,-0.489093,
11.8537,-2.01255,-0.118608,
11.9037,-2.05692,-1.45842,
11.9537,-2.06218,-2.63288,
12.0037,1.46251,-3.87903,
12.0538,1.88079,-3.19679,
12.1038,-1.59489,-1.45505,
12.1538,-2.00736,-0.878901,
12.2038,-2.0563,-2.10238,
12.2538,-2.06211,-3.35487,
12.3038,-2.0628,-4.56489,
12.3538,1.46243,-5.67707,
12.4038,-1.64454,-4.84047,
